2020-06-25 17:03:03.128828 ptpd2[21144].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21144)
2020-06-25 17:03:03.128853 ptpd2[21144].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:03:03.129176 ptpd2[21144].eno1 (info)      (init) Observed_drift loaded from kernel: 11823 ppb
2020-06-25 17:03:03.229353 ptpd2[21144].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:03:03.678241 ptpd2[21144].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:03:03.678275 ptpd2[21144].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:03:04.678061 ptpd2[21144].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:03:05.678242 ptpd2[21144].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:03:13.128927 ptpd2[21144].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:03:13.128976 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:03:41.995241 ptpd2[21144].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:03:41.995279 ptpd2[21144].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
2020-06-25 17:06:55.517399 ptpd2[21305].startup (notice)    (___) PTPDv2 started successfully on eno1 using "slaveonly" preset (PID 21305)
2020-06-25 17:06:55.517441 ptpd2[21305].startup (info)      (___) TimingService.PTP0: PTP service init
2020-06-25 17:06:55.517900 ptpd2[21305].eno1 (info)      (init) Observed_drift loaded from kernel: 21273 ppb
2020-06-25 17:06:55.618102 ptpd2[21305].eno1 (notice)    (lstn_init) Now in state: PTP_LISTENING
2020-06-25 17:06:55.678018 ptpd2[21305].eno1 (info)      (lstn_init) New best master selected: 503eaafffe092696(unknown)/1
2020-06-25 17:06:55.678073 ptpd2[21305].eno1 (notice)    (slv) Now in state: PTP_SLAVE, Best master: 503eaafffe092696(unknown)/1 (IPv4:172.16.1.49)
2020-06-25 17:06:56.677594 ptpd2[21305].eno1 (notice)    (slv) Received first Sync from Master
2020-06-25 17:06:57.677790 ptpd2[21305].eno1 (notice)    (slv) Received first Delay Response from Master
2020-06-25 17:07:05.517485 ptpd2[21305].eno1 (notice)    (slv) TimingService.PTP0: elected best TimingService
2020-06-25 17:07:05.517512 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: acquired clock control
2020-06-25 17:10:09.748566 ptpd2[21305].eno1 (info)      (slv) TimingService: Timing domain shutting down
2020-06-25 17:10:09.748656 ptpd2[21305].eno1 (info)      (slv) TimingService.PTP0: PTP service shutdown
# Timestamp, State, Clock ID, One Way Delay, Offset From Master, Slave to Master, Master to Slave, Observed Drift, Last packet Received, One Way Delay Mean, One Way Delay Std Dev, Offset From Master Mean, Offset From Master Std Dev, Observed Drift Mean, Observed Drift Std Dev, raw delayMS, raw delaySM
2020-06-25 17:10:33.839402, init, 
2020-06-25 17:10:33.940129, lstn_init,  1 
2020-06-25 17:10:51.283818, slv, 503eaafffe092696(unknown)/1,  0.000057376, -0.000042401,  0.000107746,  0.000018681, 22005.854573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000018681,  0.000107746
2020-06-25 17:10:51.677752, slv, 503eaafffe092696(unknown)/1,  0.000057376, -0.000029950,  0.000107746,  0.000035682, 22005.854573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000035682,  0.000107746
2020-06-25 17:10:52.677760, slv, 503eaafffe092696(unknown)/1,  0.000057376, -0.000026498,  0.000107746,  0.000026073, 21975.904573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000026073,  0.000107746
2020-06-25 17:10:52.889213, slv, 503eaafffe092696(unknown)/1,  0.000057941, -0.000026498,  0.000106394,  0.000026073, 21949.406573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000026073,  0.000106394
2020-06-25 17:10:53.677718, slv, 503eaafffe092696(unknown)/1,  0.000057941, -0.000042014,  0.000106394,  0.000005214, 21949.406573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000005214,  0.000106394
2020-06-25 17:10:53.829959, slv, 503eaafffe092696(unknown)/1,  0.000058130, -0.000042014,  0.000104670,  0.000005214, 21907.392573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000005214,  0.000104670
2020-06-25 17:10:54.677730, slv, 503eaafffe092696(unknown)/1,  0.000058130, -0.000044890,  0.000104670,  0.000021075, 21907.392573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000021075,  0.000104670
2020-06-25 17:10:54.966251, slv, 503eaafffe092696(unknown)/1,  0.000058134, -0.000044890,  0.000101808,  0.000021075, 21862.502573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000021075,  0.000101808
2020-06-25 17:10:55.431937, slv, 503eaafffe092696(unknown)/1,  0.000058333, -0.000044890,  0.000101341,  0.000021075, 21862.502573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000021075,  0.000101341
2020-06-25 17:10:55.677757, slv, 503eaafffe092696(unknown)/1,  0.000058333, -0.000033878,  0.000101341,  0.000027630, 21862.502573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000027630,  0.000101341
2020-06-25 17:10:56.677790, slv, 503eaafffe092696(unknown)/1,  0.000058333, -0.000022649,  0.000101341,  0.000043736, 21828.624573242, S, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000043736,  0.000101341
2020-06-25 17:10:57.118273, slv, 503eaafffe092696(unknown)/1,  0.000058799, -0.000022649,  0.000098856,  0.000043736, 21805.975573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000043736,  0.000098856
2020-06-25 17:10:57.151449, slv, 503eaafffe092696(unknown)/1,  0.000059493, -0.000022649,  0.000098837,  0.000043736, 21805.975573242, D, 0.000000000, 0, 0.000000000, 0, 0, 0,  0.000043736,  0.000098837
